Module,ID,Fonctionnalité,Description,Statut,Assigné à,Date cible,Date réelle,Priorité,Notes,Temps estimé (h),Temps réel (h),Jours restants,Sprint
F4: Facturation & Plans,21,Coloration Retards,Affichage rouge pour retards,NOT YET,,,,NOT YET,NOT YET,,,,
F4: Facturation & Plans,22,Export PDF Facture,Générer PDF professionnel,NOT YET,,,,NOT YET,NOT YET,,,,
F5: Notifications,23,Moteur Notification,Service vérifiant échéances,NOT YET,,,,NOT YET,NOT YET,,,,
F5: Notifications,24,Ciblage Destinataires,Envoi à Commercial + Chef Projet,NOT YET,,,,NOT YET,NOT YET,,,,
F5: Notifications,25,Respect Préférences,Email/SMS selon profil,NOT YET,,,,NOT YET,NOT YET,,,,
F5: Notifications,26,Paramètre "X Jours",Config délai rappels,NOT YET,,,,NOT YET,NOT YET,,,,
F6: Alerte Trésorerie & IA,27,Calcul Score Risque,Algorithme risque facture/client,NOT YET,,,,NOT YET,NOT YET,,,,
F6: Alerte Trésorerie & IA,28,Intégration API IA,Appel GPT/Gemini pour recommandations,NOT YET,,,,NOT YET,NOT YET,,,,
F6: Alerte Trésorerie & IA,29,Tableau Bord Commercial,Alertes pour conventions du commercial,NOT YET,,,,NOT YET,NOT YET,,,,
F6: Alerte Trésorerie & IA,30,Tableau Bord Chef Projet,Alertes pour ses applications,NOT YET,,,,NOT YET,NOT YET,,,,
F6: Alerte Trésorerie & IA,31,Tableau Bord Décideur,Vue globale toutes alertes,NOT YET,,,,NOT YET,NOT YET,,,,
F7: Applications & Charge,32,CRUD Applications,Gérer instances de projet,NOT YET,,,,NOT YET,NOT YET,,,,
F7: Applications & Charge,33,Affectation Chef Projet (Admin),Admin assigne un CP à une application,NOT YET,,,,NOT YET,NOT YET,,,,
F7: Applications & Charge,34,Règles d'Accès Strictes,CP voit seulement ses applications,NOT YET,,,,NOT YET,NOT YET,,,,
F7: Applications & Charge,35,Calendrier Applications,Vue calendrier échéances,NOT YET,,,,NOT YET,NOT YET,,,,
F7: Applications & Charge,36,Suivi Charge Travail,Visualisation workload par CP,NOT YET,,,,NOT YET,NOT YET,,,,
F8: Tableaux de Bord,37,Tableau Bord Interactif,Page Décideur avec filtres croisés,NOT YET,,,,NOT YET,NOT YET,,,,
F8: Tableaux de Bord,38,Graphiques & KPIs,Widgets Chart.js (camembert, courbes),NOT YET,,,,NOT YET,NOT YET,,,,
F8: Tableaux de Bord,39,Fiche Client Unifiée,Page détaillée historique client,NOT YET,,,,NOT YET,NOT YET,,,,
F8: Tableaux de Bord,40,Génération Rapports,Créer rapports personnalisés,NOT YET,,,,NOT YET,NOT YET,,,,
F8: Tableaux de Bord,41,Export Multi-format,PDF, Excel, CSV,NOT YET,,,,NOT YET,NOT YET,,,,
F8: Tableaux de Bord,42,Vue "To-Do" Relances,Liste priorisée factures à relancer,NOT YET,,,,NOT YET,NOT YET,,,,
F9: Traçabilité & Audit,43,Journal Audit Automatique,Enregistrement actions critiques,NOT YET,,,,NOT YET,NOT YET,,,,
F9: Traçabilité & Audit,44,Détails du Log,User, date, action, entité, détails,NOT YET,,,,NOT YET,NOT YET,,,,
F9: Traçabilité & Audit,45,Consultation Logs (Admin),Interface pour voir/filtrer logs,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,46,Pipeline CI/CD Jenkins,Build, test, déploiement automatisé,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,47,Conteneurisation Docker,Dockerfiles backend/frontend,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,48,Docker Compose,Fichier pour lancer écosystème,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,49,Analyse Code SonarQube,Qualité code + couverture tests >80%,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,50,Gestion Artefacts Nexus,Repository builds et images,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,51,Config Clés API Sécurisée,Variables env pour clés externes,NOT YET,,,,NOT YET,NOT YET,,,,
F10: DevOps & Déploiement,52,Monitoring Base,Spring Boot Actuator endpoints,NOT YET,,,,NOT YET,NOT YET,,,,
